trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.1326530612244898, 'e': 0.10204081632653061}",20,3,-45.87155912157226,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 0}",1
99,False,"{'a': 0.13131313131313133, 'e': 0.10101010101010101}",20,13,36.709790042904906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.13, 'e': 0.1}",20,12,16.112523285825535,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.12871287128712872, 'e': 0.09900990099009901}",30,12,43.94573259472253,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.12745098039215685, 'e': 0.09803921568627451}",25,15,42.30465438122959,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1262135922330097, 'e': 0.0970873786407767}",25,10,38.994291707334185,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.125, 'e': 0.09615384615384616}",20,0,1.951583415286521,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
105,False,"{'a': 0.12380952380952381, 'e': 0.09523809523809523}",30,16,-10.736332451249325,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.12264150943396226, 'e': 0.09433962264150944}",25,17,15.358993399938875,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.12149532710280374, 'e': 0.09345794392523364}",30,17,10.960475015405834,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.12037037037037036, 'e': 0.09259259259259259}",25,15,-4.894128252210006,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.11926605504587157, 'e': 0.09174311926605505}",20,15,22.94959246199705,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.11818181818181818, 'e': 0.09090909090909091}",20,7,47.83505658075383,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.11711711711711711, 'e': 0.09009009009009009}",30,22,48.950270165852665,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.11607142857142858, 'e': 0.08928571428571429}",30,12,33.02047305441482,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.11504424778761062, 'e': 0.08849557522123894}",30,20,54.0784169703865,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.11403508771929824, 'e': 0.08771929824561403}",20,14,38.182941001514855,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.11304347826086956, 'e': 0.08695652173913043}",20,5,37.72838962395713,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.11206896551724138, 'e': 0.08620689655172414}",25,0,57.89576876286323,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.1111111111111111, 'e': 0.08547008547008547}",25,14,-16.062811547876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.11016949152542373, 'e': 0.0847457627118644}",25,20,39.05268582069494,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1092436974789916, 'e': 0.08403361344537816}",25,17,-11.220052462065464,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.10833333333333334, 'e': 0.08333333333333333}",25,19,-8.314489475323514,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.10743801652892562, 'e': 0.08264462809917356}",20,8,39.53057191492009,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.10655737704918032, 'e': 0.08196721311475409}",20,10,-33.2827293199715,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.10569105691056911, 'e': 0.08130081300813008}",25,10,-84.4551722844562,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
124,False,"{'a': 0.10483870967741936, 'e': 0.08064516129032258}",25,9,63.64358786013065,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.104, 'e': 0.08}",30,21,27.371406726169063,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.10317460317460317, 'e': 0.07936507936507936}",20,10,-61.218137096524885,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
127,False,"{'a': 0.10236220472440945, 'e': 0.07874015748031496}",25,18,46.14703637527592,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1015625, 'e': 0.078125}",35,27,53.051668343912596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.10077519379844961, 'e': 0.07751937984496124}",25,9,-23.573882580685726,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.07692307692307693}",30,19,-13.5637670292125,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.09923664122137404, 'e': 0.07633587786259542}",25,3,69.26843000860667,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.09848484848484848, 'e': 0.07575757575757576}",20,3,57.197566454622674,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.09774436090225563, 'e': 0.07518796992481203}",20,12,39.77678579272643,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.09701492537313433, 'e': 0.07462686567164178}",25,8,46.406992996979454,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
